Epoch,step,train_loss,train_accuracy,validation_loss,validation_accuracy
1,0,186.289,0.046875,70.3782181383,0.0136054421769
1,10240,3.75998,0.046875,3.76275559921,0.0138321995465
1,20480,3.73086,0.046875,3.7644907215,0.0136054421769
1,30720,3.7588,0.015625,3.76861735017,0.0136054421769
1,40960,3.73906,0.015625,3.77426119121,0.0136054421769
1,51200,3.69869,0.0390625,3.78194321126,0.0136054421769
1,61440,3.64884,0.046875,3.78870051691,0.00680272108844
1,71680,3.62325,0.078125,3.79818379917,0.00680272108844
1,81920,3.63504,0.101562,3.8077447755,0.00680272108844
1,92160,3.49724,0.078125,3.81915459709,0.00680272108844
1,102400,3.53617,0.0703125,3.83088340284,0.00680272108844
1,112640,3.46683,0.15625,3.83587887195,0.00793650793651
1,122880,3.31187,0.109375,3.84709436283,0.00816326530612
1,133120,3.31904,0.09375,3.87576277997,0.00680272108844
1,143360,3.2456,0.109375,3.88532863496,0.00770975056689
2,0,3.22088,0.125,3.9250873131,0.00702947845805
2,10240,3.30706,0.109375,3.9540828681,0.00793650793651
2,20480,3.02089,0.171875,3.97693559264,0.00770975056689
2,30720,2.96187,0.140625,3.8997687249,0.021768707483
2,40960,3.07489,0.164062,3.90676212095,0.0256235827664
2,51200,2.65837,0.171875,3.94600161944,0.0297052154195
2,61440,2.88334,0.15625,4.02349555292,0.0176870748299
2,71680,2.77543,0.203125,3.84725813844,0.0319727891156
2,81920,2.89115,0.195312,3.89518114239,0.0292517006803
2,92160,2.61707,0.226562,3.94875031945,0.0278911564626
2,102400,2.71153,0.1875,3.71715677579,0.047619047619
2,112640,2.80155,0.21875,3.72830250615,0.0408163265306
2,122880,2.54503,0.25,3.79999747471,0.0390022675737
2,133120,2.63994,0.21875,3.65706912612,0.0469387755102
2,143360,2.66758,0.195312,3.53442764077,0.0664399092971
3,0,2.4908,0.28125,3.46048696122,0.0662131519274
3,10240,2.6248,0.226562,3.51577229056,0.0530612244898
3,20480,2.47477,0.242188,3.6560751529,0.0385487528345
3,30720,2.38105,0.265625,3.52499717596,0.0492063492063
3,40960,2.50178,0.257812,3.04668505878,0.110430839002
3,51200,2.1294,0.367188,3.27760952681,0.0829931972789
3,61440,2.36041,0.273438,3.18111196516,0.0777777777778
3,71680,2.2971,0.328125,3.16991984893,0.0854875283447
3,81920,1.87023,0.429688,3.40236882947,0.0680272108844
3,92160,2.23991,0.28125,3.18102218818,0.084126984127
3,102400,2.27114,0.296875,3.55850064317,0.0582766439909
3,112640,2.41792,0.328125,2.8736530437,0.146712018141
3,122880,2.4633,0.304688,2.93621310052,0.119727891156
3,133120,2.47422,0.3125,2.74888264781,0.156462585034
3,143360,2.34465,0.351562,3.29877550272,0.0848072562358
4,0,2.41557,0.257812,2.97953131291,0.113832199546
4,10240,2.30373,0.328125,3.15857681406,0.0925170068027
4,20480,2.31998,0.296875,3.15457384105,0.106802721088
4,30720,2.305,0.320312,2.78437835657,0.146258503401
4,40960,2.11765,0.3125,3.30701775973,0.109297052154
4,51200,2.04011,0.390625,2.82582972996,0.138548752834
4,61440,2.34542,0.320312,3.1554642327,0.102267573696
4,71680,2.55157,0.296875,2.78601067147,0.192517006803
4,81920,2.15602,0.40625,2.8161515024,0.17664399093
4,92160,2.13697,0.351562,2.83376117466,0.151473922902
4,102400,2.48004,0.335938,2.40410946751,0.263492063492
4,112640,2.38986,0.273438,2.89793547589,0.153287981859
4,122880,2.15732,0.335938,3.27816047182,0.127891156463
4,133120,2.2935,0.28125,3.33948312465,0.0972789115646
4,143360,2.2606,0.351562,2.97112480529,0.143310657596
5,0,2.08718,0.40625,2.63144040205,0.205442176871
5,10240,2.1345,0.351562,3.03369390646,0.148526077098
5,20480,2.23738,0.296875,2.59190736152,0.214739229025
5,30720,2.13659,0.4375,3.06111866147,0.119954648526
5,40960,2.05275,0.335938,2.75861819131,0.177097505669
5,51200,2.21274,0.335938,3.16375196364,0.111111111111
5,61440,1.95631,0.367188,2.82841090897,0.166893424036
5,71680,2.03429,0.398438,2.8062441388,0.17029478458
5,81920,2.06078,0.367188,3.11644882356,0.127891156463
5,92160,2.19443,0.359375,2.78284147126,0.156916099773
5,102400,1.97217,0.414062,2.97318105265,0.133333333333
5,112640,1.99765,0.4375,3.00266969836,0.128344671202
5,122880,2.2059,0.351562,3.2028846385,0.123129251701
5,133120,1.88157,0.4375,2.65726447851,0.212244897959
5,143360,2.09765,0.40625,2.87793308332,0.177324263039
6,0,2.20684,0.328125,3.29656560264,0.112925170068
6,10240,1.97315,0.398438,2.51234587455,0.246031746032
6,20480,2.29714,0.351562,2.61665698157,0.230612244898
6,30720,2.43863,0.375,2.69466540851,0.221541950113
6,40960,2.33538,0.320312,3.30590425738,0.121315192744
6,51200,2.05686,0.34375,2.81151124907,0.17641723356
6,61440,2.30891,0.335938,3.7188647041,0.0716553287982
6,71680,1.99619,0.382812,2.40728917425,0.266213151927
6,81920,2.19416,0.335938,2.8271197851,0.195238095238
6,92160,1.72557,0.429688,2.95299189312,0.146712018141
6,102400,1.92411,0.382812,3.07911242693,0.126077097506
6,112640,2.19016,0.351562,2.77057927374,0.198185941043
6,122880,1.98711,0.335938,2.79486715907,0.209750566893
6,133120,1.84639,0.382812,3.36577889125,0.0972789115646
6,143360,2.03859,0.429688,2.95226839967,0.172562358277
7,0,1.68779,0.4375,3.03870547775,0.151473922902
7,10240,2.1275,0.40625,2.42203538002,0.280045351474
7,20480,2.21824,0.390625,2.51635458237,0.230385487528
7,30720,1.8536,0.398438,3.07258983534,0.122222222222
7,40960,1.93664,0.398438,2.95871628753,0.185034013605
7,51200,1.80047,0.414062,2.70873071353,0.201814058957
7,61440,2.2033,0.335938,3.40148638717,0.0952380952381
7,71680,2.06439,0.382812,3.08831769788,0.139909297052
7,81920,2.10202,0.398438,3.00208830855,0.155782312925
7,92160,1.9953,0.398438,3.04908470015,0.136961451247
7,102400,1.82632,0.453125,2.95853359153,0.186621315193
7,112640,1.90959,0.460938,2.59239300676,0.230612244898
7,122880,2.39034,0.304688,2.65401099047,0.225850340136
7,133120,2.31593,0.375,2.710051263,0.232426303855
7,143360,1.93435,0.398438,2.85382023604,0.187528344671
8,0,1.78441,0.46875,3.10910817479,0.126530612245
8,10240,2.22317,0.40625,2.58967996227,0.253741496599
8,20480,2.12148,0.359375,3.29754153552,0.0766439909297
8,30720,1.89658,0.390625,3.14691224196,0.100907029478
8,40960,2.2817,0.3125,3.09255506706,0.132199546485
8,51200,2.216,0.351562,3.2304893924,0.12358276644
8,61440,2.15101,0.359375,3.02582433208,0.142176870748
8,71680,2.22405,0.367188,2.4549447171,0.263038548753
8,81920,1.75769,0.460938,2.98410813349,0.120861678005
8,92160,2.12709,0.398438,3.12272673648,0.0997732426304
8,102400,2.17458,0.382812,2.88023599216,0.197505668934
8,112640,2.06497,0.421875,3.13017673741,0.114512471655
8,122880,2.36876,0.390625,3.24361970527,0.114739229025
8,133120,2.16789,0.375,2.49588980523,0.267346938776
8,143360,2.11905,0.382812,2.97184466732,0.151473922902
9,0,1.99856,0.421875,2.70484088759,0.197732426304
9,10240,2.08505,0.445312,2.66605743551,0.203401360544
9,20480,2.1044,0.445312,2.97048143411,0.14126984127
9,30720,1.94887,0.398438,3.08466513249,0.113832199546
9,40960,2.121,0.375,2.56607072143,0.256916099773
9,51200,2.07981,0.429688,2.77162290517,0.184807256236
9,61440,2.19542,0.34375,2.38032343469,0.258049886621
9,71680,2.08395,0.382812,2.18751730173,0.324489795918
9,81920,2.08896,0.34375,2.97041251081,0.1589569161
9,92160,2.33971,0.296875,2.35331991957,0.277777777778
9,102400,1.8789,0.40625,2.75142561346,0.189569160998
9,112640,1.89316,0.414062,2.63765672286,0.208163265306
9,122880,2.15476,0.359375,2.50506819143,0.22947845805
9,133120,2.10323,0.398438,2.5208612043,0.234240362812
9,143360,2.00729,0.445312,3.40439982414,0.0657596371882
10,0,2.27553,0.328125,2.70290082404,0.180045351474
10,10240,2.18258,0.328125,2.69215211749,0.194784580499
10,20480,2.18769,0.429688,3.27307388712,0.111111111111
10,30720,1.87433,0.382812,2.61755677675,0.198639455782
10,40960,2.42914,0.351562,2.80492605168,0.172108843537
10,51200,1.76956,0.492188,2.68255425127,0.205442176871
